                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4663,                 4.4644,                  1.459,                0.06885,                0.27173,                0.03156,                 0.0198,                 1.4281,                 3.7183,                  1.451,             6.0328e-05,             6.0328e-05,             6.0328e-05
                      2,                 1.4346,                 3.5032,                 1.4718,                 0.1296,                0.28409,                0.11983,                0.07469,                 1.4473,                   2.94,                 1.5516,             0.00011501,             0.00011501,             0.00011501
                      3,                 1.4044,                  2.992,                 1.4748,                0.22916,                0.37597,                0.23493,                0.16235,                 1.2564,                 2.4767,                 1.3629,             0.00016368,             0.00016368,             0.00016368
                      4,                  1.356,                 2.6438,                 1.4226,                0.37381,                0.45702,                0.36034,                0.22892,                 1.3748,                 2.2668,                 1.4407,             0.00015497,             0.00015497,             0.00015497
                      5,                 1.3331,                 2.4186,                 1.4012,                 0.4728,                0.45499,                0.44613,                0.29999,                 1.2922,                 1.9984,                 1.3639,             0.00014596,             0.00014596,             0.00014596
                      6,                 1.2994,                 2.2615,                 1.3736,                0.52385,                0.48038,                0.47919,                 0.3428,                 1.1693,                 1.8358,                 1.2733,             0.00013695,             0.00013695,             0.00013695
                      7,                 1.2788,                 2.1328,                 1.3563,                0.50354,                0.51844,                0.50234,                0.35368,                 1.1946,                 1.7939,                 1.2956,             0.00012795,             0.00012795,             0.00012795
                      8,                  1.266,                  2.036,                 1.3541,                0.56249,                0.54172,                0.53078,                0.37644,                  1.174,                  1.709,                 1.2691,             0.00011894,             0.00011894,             0.00011894
                      9,                 1.2526,                 1.9709,                 1.3372,                0.59195,                0.56144,                 0.5626,                0.39806,                 1.1519,                 1.5885,                 1.2606,             0.00010993,             0.00010993,             0.00010993
                     10,                 1.2395,                 1.9001,                 1.3259,                0.63717,                0.53051,                0.57489,                0.41299,                 1.1269,                 1.5682,                 1.2444,             0.00010092,             0.00010092,             0.00010092
                     11,                 1.2016,                 1.7465,                 1.3407,                0.65249,                0.53926,                0.58866,                0.41968,                 1.1184,                 1.5149,                 1.2243,              9.191e-05,              9.191e-05,              9.191e-05
                     12,                 1.1754,                 1.6496,                 1.3165,                0.66194,                0.55675,                0.60415,                0.42524,                 1.1559,                    1.5,                 1.2607,             8.2901e-05,             8.2901e-05,             8.2901e-05
                     13,                 1.1604,                 1.5862,                 1.3092,                 0.6606,                0.54928,                0.60593,                0.43578,                 1.1161,                 1.4795,                 1.2383,             7.3892e-05,             7.3892e-05,             7.3892e-05
                     14,                 1.1451,                 1.5459,                 1.2988,                0.68135,                0.55541,                0.62415,                0.45526,                 1.0894,                 1.4082,                 1.2186,             6.4883e-05,             6.4883e-05,             6.4883e-05
                     15,                 1.1373,                 1.5008,                 1.2908,                0.69018,                0.56205,                0.62845,                0.45204,                 1.1118,                 1.4332,                 1.2347,             5.5874e-05,             5.5874e-05,             5.5874e-05
                     16,                 1.1254,                 1.4743,                 1.2795,                0.68842,                0.56685,                0.63077,                0.44791,                 1.1318,                 1.4172,                 1.2362,             4.6865e-05,             4.6865e-05,             4.6865e-05
                     17,                 1.1123,                 1.4461,                 1.2738,                0.68589,                0.57963,                0.64184,                0.45515,                 1.1223,                 1.3842,                 1.2285,             3.7856e-05,             3.7856e-05,             3.7856e-05
                     18,                 1.1078,                 1.4203,                 1.2653,                0.67085,                0.59393,                0.64232,                0.46315,                 1.0942,                 1.3605,                 1.2154,             2.8847e-05,             2.8847e-05,             2.8847e-05
                     19,                 1.1007,                  1.402,                 1.2623,                0.69902,                0.58929,                0.64737,                0.46616,                 1.0977,                 1.3656,                 1.2169,             1.9838e-05,             1.9838e-05,             1.9838e-05
                     20,                  1.087,                 1.3799,                 1.2549,                0.70416,                0.58339,                0.65075,                0.46914,                 1.0911,                 1.3531,                 1.2134,             1.0829e-05,             1.0829e-05,             1.0829e-05
